Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,5.300000,5.670000,5.240000,5.490000,5.490000,7267483
2020-07-02,5.740000,5.850000,5.550000,5.800000,5.800000,7526751
2020-07-03,5.920000,6.030000,5.630000,5.740000,5.740000,7736514
2020-07-06,5.760000,5.990000,5.720000,5.900000,5.900000,5133796
2020-07-07,6.100000,6.170000,5.730000,5.770000,5.770000,6805624
2020-07-08,5.790000,6.130000,5.700000,6.070000,6.070000,7888418
2020-07-09,6.150000,6.720000,6.060000,6.700000,6.700000,13981973
2020-07-10,6.900000,7.715000,6.730000,7.240000,7.240000,26088977
2020-07-13,7.840000,7.880000,7.100000,7.630000,7.630000,21396784
2020-07-14,7.280000,7.460000,6.920000,7.040000,7.040000,16318874
2020-07-15,7.500000,7.540000,6.330000,6.570000,6.570000,25879566
2020-07-16,6.500000,6.540000,5.860000,5.940000,5.940000,18557655
2020-07-17,5.920000,6.050000,5.550000,5.900000,5.900000,16616720
2020-07-20,6.010000,6.170000,5.850000,6.040000,6.040000,10903736
2020-07-21,6.260000,6.690000,6.130000,6.570000,6.570000,16261036
2020-07-22,6.360000,6.600000,6.230000,6.510000,6.510000,7837565
2020-07-23,6.510000,6.770000,6.410000,6.550000,6.550000,7721235
2020-07-24,6.380000,6.550000,6.310000,6.380000,6.380000,6942668
2020-07-27,6.350000,6.440000,6.260000,6.370000,6.370000,3972807
2020-07-28,6.450000,6.530000,6.110000,6.130000,6.130000,7293793
2020-07-29,6.100000,6.150000,5.960000,6.010000,6.010000,6847759
2020-07-30,6.150000,6.240000,6.045000,6.140000,6.140000,5730040
2020-07-31,6.080000,6.230000,5.930000,5.950000,5.950000,6182700
2020-08-03,5.940000,5.940000,5.680000,5.770000,5.770000,6790640
2020-08-04,5.950000,6.290000,5.930000,6.280000,6.280000,8054776
2020-08-05,6.250000,6.360000,6.120000,6.220000,6.220000,5065947
2020-08-06,6.300000,6.390000,6.060000,6.070000,6.070000,4331990
2020-08-07,6.100000,6.190000,6.010000,6.180000,6.180000,5174886
2020-08-10,6.200000,6.330000,6.175000,6.310000,6.310000,3619671
2020-08-11,6.350000,6.350000,6.080000,6.190000,6.190000,3192045
2020-08-12,6.130000,6.230000,6.080000,6.110000,6.110000,2782015
2020-08-13,6.230000,6.380000,6.120000,6.140000,6.140000,4512699
2020-08-14,6.140000,6.350000,6.130000,6.320000,6.320000,4385117
2020-08-17,6.320000,6.320000,6.120000,6.230000,6.230000,3914201
2020-08-18,6.300000,6.450000,6.230000,6.310000,6.310000,5272456
2020-08-19,6.400000,6.450000,6.240000,6.240000,6.240000,3531941
2020-08-20,6.380000,6.680000,6.290000,6.530000,6.530000,9985366
2020-08-21,6.630000,6.680000,6.430000,6.590000,6.590000,5370780
2020-08-24,6.980000,7.500000,6.910000,7.450000,7.450000,18171799
2020-08-25,7.650000,7.920000,7.320000,7.570000,7.570000,16090587
2020-08-26,8.000000,9.950000,7.980000,9.650000,9.650000,50668274
2020-08-27,10.460000,10.640000,8.700000,9.200000,9.200000,38435746
2020-08-28,8.990000,9.230000,8.860000,8.880000,8.880000,17297019
2020-08-31,8.840000,9.180000,8.650000,9.160000,9.160000,11085758
2020-09-01,8.600000,8.800000,7.990000,7.990000,7.990000,32736212
2020-09-02,7.260000,7.430000,6.570000,7.060000,7.060000,47196299
2020-09-03,7.400000,7.440000,7.010000,7.120000,7.120000,16472803
2020-09-04,6.700000,6.940000,6.660000,6.760000,6.760000,19609118
2020-09-07,6.760000,6.930000,6.620000,6.900000,6.900000,11863146
2020-09-08,7.050000,7.060000,6.750000,6.750000,6.750000,8528738
2020-09-09,6.520000,6.640000,6.410000,6.610000,6.610000,13464766
2020-09-10,6.810000,6.860000,6.390000,6.420000,6.420000,9210991
2020-09-11,6.160000,6.260000,5.870000,5.990000,5.990000,15513516
2020-09-14,6.000000,6.030000,5.560000,5.840000,5.840000,15840425
2020-09-15,5.920000,6.200000,5.870000,6.070000,6.070000,9639869
2020-09-16,6.220000,6.510000,6.200000,6.440000,6.440000,10321565
2020-09-17,6.270000,6.280000,5.980000,5.980000,5.980000,10155749
2020-09-18,6.170000,6.300000,6.010000,6.160000,6.160000,22302249
2020-09-21,6.170000,6.270000,6.020000,6.050000,6.050000,8172520
2020-09-22,6.040000,6.180000,6.020000,6.060000,6.060000,6873736
2020-09-23,6.250000,6.380000,6.140000,6.240000,6.240000,7411548
2020-09-24,6.070000,6.090000,5.910000,5.930000,5.930000,9565610
2020-09-25,6.000000,6.020000,5.860000,5.960000,5.960000,7590940
2020-09-28,6.020000,6.310000,6.020000,6.250000,6.250000,8410948
2020-09-29,6.410000,6.540000,6.325000,6.400000,6.400000,6978977
2020-09-30,6.300000,6.410000,6.160000,6.170000,6.170000,6499022
2020-10-01,6.360000,6.670000,6.270000,6.600000,6.600000,10454639
2020-10-02,6.690000,7.040000,6.350000,6.490000,6.490000,15677215
2020-10-05,6.890000,6.890000,6.430000,6.760000,6.760000,8698286
2020-10-06,6.840000,7.050000,6.740000,6.960000,6.960000,9635367
